Offset;English;German;Type
25884;Captured Oblivion Wing;Gefangene Schwinge des Vergessens;Captured Monster
25896;Captured Anima;Gefangener Anima;Captured Monster
25908;Captured Terror Wing;Gefangene Terrorschwinge;Captured Monster
25920;Captured Mercurius;Gefangener Mercurius;Captured Monster
25932;Blackrose Nectar;Schwarzrosennektar;Other
25944;Parasitic Oil;Parasitenöl;Other
25956;Shadowwood Seed;Schattenbaumsamen;Other
25968;Cosmosand;Kosmossand;Other
25980;Nightblossom Seed;Nachtblütensamen;Other
25992;Empty Aerial Insecta Shell;Leerer Luftinsektenpanzer;Other
26004;Irised Stone;Regenbogenstein;Other
26016;Royotian Ore;Royotianisches Erz;Other
26028;Parfumlily;Parfümlilie;Other
26040;Weapon Recipe 1;Waffenrezept 1;Other
26052;Weapon Recipe 2;Waffenrezept 2;Other
26064;Weapon Recipe 3;Waffenrezept 3;Other
26076;Weapon Recipe 4;Waffenrezept 4;Other
26088;Weapon Recipe 5;Waffenrezept 5;Other
26100;Weapon Recipe 6;Waffenrezept 6;Other
26112;Weapon Recipe 7;Waffenrezept 7;Other
26124;Weapon Recipe 8;Waffenrezept 8;Other
26136;Weapon Recipe 9;Waffenrezept 9;Other
26148;Weapon Recipe 10;Waffenrezept 10;Other
26160;Weapon Recipe 11;Waffenrezept 11;Other
26172;Weapon Recipe 12;Waffenrezept 12;Other
26184;Weapon Recipe 13;Waffenrezept 13;Other
26196;Weapon Recipe 14;Waffenrezept 14;Other
26208;Weapon Recipe 15;Waffenrezept 15;Other
26220;Weapon Recipe 16;Waffenrezept 16;Other
26232;Weapon Recipe 17;Waffenrezept 17;Other
26244;Weapon Recipe 18;Waffenrezept 18;Other
26256;Weapon Recipe 19;Waffenrezept 19;Other
26268;Weapon Recipe 20;Waffenrezept 20;Other
26280;Weapon Recipe 21;Waffenrezept 21;Other
26292;Weapon Recipe 22;Waffenrezept 22;Other
26304;Weapon Recipe 23;Waffenrezept 23;Other
26316;Weapon Recipe 24;Waffenrezept 24;Other
26328;Weapon Recipe 25;Waffenrezept 25;Other
26340;Weapon Recipe 26;Waffenrezept 26;Other
26352;Weapon Recipe 27;Waffenrezept 27;Other
26364;Weapon Recipe 28;Waffenrezept 28;Other
26376;Weapon Recipe 29;Waffenrezept 29;Other
26388;Weapon Recipe 30;Waffenrezept 30;Other
26400;Weapon Recipe 31;Waffenrezept 31;Other
26412;Weapon Recipe 32;Waffenrezept 32;Other
26424;Weapon Recipe 33;Waffenrezept 33;Other
26436;Weapon Recipe 34;Waffenrezept 34;Other
26448;Weapon Recipe 35;Waffenrezept 35;Other
26460;Weapon Recipe 36;Waffenrezept 36;Other
26472;Weapon Recipe 37;Waffenrezept 37;Other
26484;Weapon Recipe 38;Waffenrezept 38;Other
26496;Weapon Recipe 39;Waffenrezept 39;Other
26508;Weapon Recipe 40;Waffenrezept 40;Other
26520;Weapon Recipe 41;Waffenrezept 41;Other
26532;Weapon Recipe 42;Waffenrezept 42;Other
26544;Weapon Recipe 43;Waffenrezept 43;Other
26556;Weapon Recipe 44;Waffenrezept 44;Other
26568;Weapon Recipe 45;Waffenrezept 45;Other
26580;Weapon Recipe 46;Waffenrezept 46;Other
26592;Weapon Recipe 47;Waffenrezept 47;Other
26604;Weapon Recipe 48;Waffenrezept 48;Other
26616;Weapon Recipe 49;Waffenrezept 49;Other
26628;Weapon Recipe 50;Waffenrezept 50;Other
26640;Weapon Recipe 51;Waffenrezept 51;Other
26652;Weapon Recipe 52;Waffenrezept 52;Other
26664;Weapon Recipe 53;Waffenrezept 53;Other
26676;Weapon Recipe 54;Waffenrezept 54;Other
26688;Weapon Recipe 55;Waffenrezept 55;Other
26700;Weapon Recipe 56;Waffenrezept 56;Other
26712;Weapon Recipe 57;Waffenrezept 57;Other
26724;Weapon Recipe 58;Waffenrezept 58;Other
26736;Weapon Recipe 59;Waffenrezept 59;Other
26748;Weapon Recipe 60;Waffenrezept 60;Other
26760;Weapon Recipe 61;Waffenrezept 61;Other
26772;Weapon Recipe 62;Waffenrezept 62;Other
26784;Weapon Recipe 63;Waffenrezept 63;Other
26796;Weapon Recipe 64;Waffenrezept 64;Other
26808;Necklace Recipe 1;Halskettenrezept 1;Other
26820;Necklace Recipe 2;Halskettenrezept 2;Other
26832;Necklace Recipe 3;Halskettenrezept 3;Other
26844;Necklace Recipe 4;Halskettenrezept 4;Other
26856;Necklace Recipe 5;Halskettenrezept 5;Other
26868;Necklace Recipe 6;Halskettenrezept 6;Other
26880;Necklace Recipe 7;Halskettenrezept 7;Other
26892;Necklace Recipe 8;Halskettenrezept 8;Other
26904;Ring Recipe 1;Ringrezept 1;Other
26916;Ring Recipe 2;Ringrezept 2;Other
26928;Ring Recipe 3;Ringrezept 3;Other
26940;Ring Recipe 4;Ringrezept 4;Other
26952;Ring Recipe 5;Ringrezept 5;Other
26964;Ring Recipe 6;Ringrezept 6;Other
26976;Ring Recipe 7;Ringrezept 7;Other
26988;Ring Recipe 8;Ringrezept 8;Other
27000;Armlet Recipe 1;Armreifrezept 1;Other
27012;Armlet Recipe 2;Armreifrezept 2;Other
27024;Armlet Recipe 3;Armreifrezept 3;Other
27036;Armlet Recipe 4;Armreifrezept 4;Other
27048;Armlet Recipe 5;Armreifrezept 5;Other
27060;Armlet Recipe 6;Armreifrezept 6;Other
27072;Armlet Recipe 7;Armreifrezept 7;Other
27084;Armlet Recipe 8;Armreifrezept 8;Other
27096;Earring Recipe 1;Ohrringrezept 1;Other
27108;Earring Recipe 2;Ohrringrezept 2;Other
27120;Earring Recipe 3;Ohrringrezept 3;Other
27132;Earring Recipe 4;Ohrringrezept 4;Other
27144;Earring Recipe 5;Ohrringrezept 5;Other
27156;Earring Recipe 6;Ohrringrezept 6;Other
27168;Earring Recipe 7;Ohrringrezept 7;Other
27180;Earring Recipe 8;Ohrringrezept 8;Other
27192;Sash Recipe 1;Schärpenrezept 1;Other
27204;Sash Recipe 2;Schärpenrezept 2;Other
27216;Sash Recipe 3;Schärpenrezept 3;Other
27228;Sash Recipe 4;Schärpenrezept 4;Other
27240;Sash Recipe 5;Schärpenrezept 5;Other
27252;Sash Recipe 6;Schärpenrezept 6;Other
27264;Sash Recipe 7;Schärpenrezept 7;Other
27276;Sash Recipe 8;Schärpenrezept 8;Other
27288;Anklet Recipe 1;Fußkettenrezept 1;Other
27300;Anklet Recipe 2;Fußkettenrezept 2;Other
27312;Anklet Recipe 3;Fußkettenrezept 3;Other
27324;Anklet Recipe 4;Fußkettenrezept 4;Other
27336;Anklet Recipe 5;Fußkettenrezept 5;Other
27348;Anklet Recipe 6;Fußkettenrezept 6;Other
27360;Anklet Recipe 7;Fußkettenrezept 7;Other
27372;Anklet Recipe 8;Fußkettenrezept 8;Other
27384;Charm Recipe 1;Amulettrezept 1;Other
27396;Charm Recipe 2;Amulettrezept 2;Other
27408;Charm Recipe 3;Amulettrezept 3;Other
27420;Charm Recipe 4;Amulettrezept 4;Other
27432;Charm Recipe 5;Amulettrezept 5;Other
27444;Charm Recipe 6;Amulettrezept 6;Other
27456;Charm Recipe 7;Amulettrezept 7;Other
27468;Charm Recipe 8;Amulettrezept 8;Other
27480;Gem Recipe 1;Edelsteinrezept 1;Other
27492;Gem Recipe 2;Edelsteinrezept 2;Other
27504;Gem Recipe 3;Edelsteinrezept 3;Other
27516;Gem Recipe 4;Edelsteinrezept 4;Other
27528;Gem Recipe 5;Edelsteinrezept 5;Other
27540;Gem Recipe 6;Edelsteinrezept 6;Other
27552;Gem Recipe 7;Edelsteinrezept 7;Other
27564;Gem Recipe 8;Edelsteinrezept 8;Other
27576;Blueprint 1;Plan 1;Other
27588;Blueprint 2;Plan 2;Other
27600;Blueprint 3;Plan 3;Other
27612;Blueprint 4;Plan 4;Other
27624;Blueprint 5;Plan 5;Other
27636;Blueprint 6;Plan 6;Other
27648;Blueprint 7;Plan 7;Other
27660;Blueprint 8;Plan 8;Other
27672;Blueprint 9;Plan 9;Other
27684;Blueprint 10;Plan 10;Other
27696;Blueprint 11;Plan 11;Other
27708;Blueprint 12;Plan 12;Other
27720;Blueprint 13;Plan 13;Other
27732;Blueprint 14;Plan 14;Other
27744;Blueprint 15;Plan 15;Other
27756;Blueprint 16;Plan 16;Other
27768;Blueprint 17;Plan 17;Other
27780;Blueprint 18;Plan 18;Other
27792;Blueprint 19;Plan 19;Other
27804;Blueprint 20;Plan 20;Other
27816;Blueprint 21;Plan 21;Other
27828;Blueprint 22;Plan 22;Other
27840;Blueprint 23;Plan 23;Other
27852;Blueprint 24;Plan 24;Other
27864;Blueprint 25;Plan 25;Other
27876;Blueprint 26;Plan 26;Other
27888;Blueprint 27;Plan 27;Other
27900;Blueprint 28;Plan 28;Other
27912;Blueprint 29;Plan 29;Other
27924;Blueprint 30;Plan 30;Other
27936;Blueprint 31;Plan 31;Other
27948;Blueprint 32;Plan 32;Other
27960;Blueprint 33;Plan 33;Other
27972;Blueprint 34;Plan 34;Other
27984;Blueprint 35;Plan 35;Other
27996;Blueprint 36;Plan 36;Other
28008;Blueprint 37;Plan 37;Other
28020;Blueprint 38;Plan 38;Other
28032;Blueprint 39;Plan 39;Other
28044;Blueprint 40;Plan 40;Other
28056;Blueprint 41;Plan 41;Other
28068;Blueprint 42;Plan 42;Other
28080;Blueprint 43;Plan 43;Other
28092;Blueprint 44;Plan 44;Other
28104;Blueprint 45;Plan 45;Other
28116;Blueprint 46;Plan 46;Other
28128;Blueprint 47;Plan 47;Other
28140;Blueprint 48;Plan 48;Other
28152;Blueprint 49;Plan 49;Other
28164;Blueprint 50;Plan 50;Other
28176;Blueprint 51;Plan 51;Other
28188;Blueprint 52;Plan 52;Other
28200;Blueprint 53;Plan 53;Other
28212;Blueprint 54;Plan 54;Other
28224;Blueprint 55;Plan 55;Other
28236;Blueprint 56;Plan 56;Other
28248;Blueprint 57;Plan 57;Other
28260;Blueprint 58;Plan 58;Other
28272;Blueprint 59;Plan 59;Other
28284;Blueprint 60;Plan 60;Other
28296;Blueprint 61;Plan 61;Other
28308;Blueprint 62;Plan 62;Other
28320;Blueprint 63;Plan 63;Other
28332;Blueprint 64;Plan 64;Other
28344;Elven Core;Elfenkern;Ore
28356;Spriggan Core;Dryadenkern;Ore
28368;SylphCore;Luftgeistkern;Ore
28380;Alp Core;Alpkern;Ore
28392;Oberon Core;Oberonkern;Ore
28404;CÃºchulainn Core;Cuchulainnkern;Ore
28416;Merman Core;Neptunkern;Ore
28428;Ondine Core;Nymphenkern;Ore
28440;Brownie Core;Däumlingskern;Ore
28452;Pixie Core;Feenkern;Ore
28464;Goblin Core;Klabauterkern;Ore
28476;Mermaid Core;Meerjungfrauenkern;Ore
28488;Leprechaun Core;Gnomenkern;Ore
28500;Troll Core;Trollkern;Ore
28512;Boggart Core;Poltergeistkern;Ore
28524;Siren Core;Sirenenkern;Ore
28536;Kobold Core;Koboldkern;Ore
28548;Banshee Core;Todesfeen;Ore
28560;Dwarven Core;Zwergenkern;Ore
28572;Lenan SÃ­dhe Core;Musenkern;Ore
28584;Kelpie Core;Kelpiekern;Ore
28596;Knocker Core;Schlägerkern;Ore
28608;Rough Elven Stone;Rauer Elfenstein;Ore
28620;Rough Spriggan Stone;Rauer Dryadenstein;Ore
28632;Rough Sylph Stone;Rauer Luftgeiststein;Ore
28644;Rough Alp Stone;Rauer Alpstein;Ore
28656;Rough Oberon Stone;Rauer Oberonstein;Ore
28668;Rough CÃºchulainn Stone;Rauer Cuchulainnstein;Ore
28680;Rough Merman Stone;Rauer Neptunstein;Ore
28692;Rough Ondine Stone;Rauer Nymphenstein;Ore
28704;Rough Brownie Stone;Rauer Däumlingsstein;Ore
28716;Rough Pixie Stone;Rauer Feenstein;Ore
28728;Rough Goblin Stone;Rauer Klabauterstein;Ore
28740;Rough Mermaid Stone;Rauer Meerjungfrauenstein;Ore
28752;Rough Leprechaun Stone;Rauer Gnomenstein;Ore
28764;Rough Troll Stone;Rauer Trollstein;Ore
28776;Rough Boggart Stone;Rauer Poltergeiststein;Ore
28788;Rough Siren Stone;Rauer Sirenenstein;Ore
28800;Rough Kobold Stone;Rauer Koboldstein;Ore
28812;Rough Banshee Stone;Rauer Todesfeenstein;Ore
28824;Rough Dwarven Stone;Rauer Zwergenstein;Ore
28836;Rough Lenan SÃ­dhe Stone;Rauer Musenstein;Ore
28848;Rough Kelpie Stone;Rauer Kelpiestein;Ore
28860;Rough Knocker Stone;Rauer Schlägerstein;Ore
28872;Elf's Emerald;Elfensmaragd;Ore
28884;Spriggan's Step;Dryadendiamant;Ore
28896;Sylph Marquise;Luftgeistrubin;Ore
28908;Alp's Briolette;Alptropfen;Ore
28920;Oberon's Baguette;Oberonjuwel;Ore
28932;CÃºchulainn's Heart;Cuchulainnherz;Ore
28944;Merman's French;Neptundiamant;Ore
28956;Ondine's Pear;Nymphenrubin;Ore
28968;Brownie's Bead;Däumlingsperle;Ore
28980;Pixie's Rose;Feenjuwel;Ore
28992;Goblin's Drop;Klabautertropfen;Ore
29004;Mermaid's Barrel;Meerjungfrauenrubin;Ore
29016;Leprechaun's Scissor;Gnomenjuwel;Ore
29028;Troll's Cushion;Trolldiamant;Ore
29040;Boggart's Trapeziod;Altes Katana;Ore
29052;Siren's Square;Sirenenperle;Ore
29064;Kobold's Halfdutch;Alter Hammer;Ore
29076;Banshee's Octagon;Todesfeenjuwel;Ore
29088;Dwarf's Cabochon;Zwergendiamant;Ore
29100;Lenan SÃ­dhe's Brilliance;Musenbrillant;Ore
29112;Kalpie's Single;Kalpiejuwel;Ore
29124;Knocker's Ceylon;Schlägersmaragd;Ore
29136;Copper Ore;Kupfererz;Ore
29148;Iron Ore;Eisenerz;Ore
29160;Steel Ore;Stahlerz;Ore
29172;Silver Ore;Silbererz;Ore
29184;Gold Ore;Golderz;Ore
29196;Divine Dragonyte;Göttliches Dragonit;Ore
29208;Mystic Skelenyte;Mystisches Skelenit;Ore
29220;Blacksteel Ore;Schwarzstahlerz;Ore
29232;Gaslin Copper;Gaslinkupfer;Ore
29244;Vackel Iron;Vackeleisen;Ore
29256;Royotian Steel;Royotianischer Stahl;Ore
29268;Truesilver Ore;Echtsilbererz;Ore
29280;Platinum Ore;Platinumerz;Ore
29292;Dragonicle Ore;Drachenerz;Ore
29304;Meller Crystal;Mellerkristall;Ore
29316;Damascus Ore;Damaskuserz;Ore
29328;Stone;Stein;Ore
29340;Metal Scraps;Metallteile;Ore
29352;Lead;Blei;Ore
29364;Fossilized Tree;Versteinerter Baum;Ore
29376;Meteorite;Meteorstein;Ore
29388;Reprocessed Metal;Edelmetall;Ore
29400;Divine Metal;Göttliches Metall;Ore
29412;Ruby Crystal;Rubinkristall;Ore
29424;Emerald Crystal;Smaragdkristall;Ore
29436;Sapphire Crystal;Saphirkristall;Ore
29448;Snowy Crystal;Schneekristall;Ore
29460;Voltaic Crystal;Voltakristall;Ore
29472;Light Metal;Leichtmetall;Metal
29484;Jhana Alloy;Jhanalegierung;Metal
29496;Shadow Metal;Schattenmetall;Metal
29508;Astra Alloy;Astralegierung;Metal
29520;Royotian Alloy;Royotianische Legierung;Metal
29532;Heavy Metal;Schwermetall;Metal
29544;Primordial Alloy;Primitive Legierung;Metal
29556;Necrotic Metal;Nekrotisches Metall;Metal
29568;Obsidian Fragment;Obsidianfragment;Metal
29580;Imperium;Imperium;Metal
29592;Orichalcum;Orichalcum;Metal
29604;Crimson Ore;Purpurerz;Metal
29616;Jewel Steel;Juwelenstahl;Metal
29628;Aged Sword;Altes Schwert;Other
29640;Aged Katana;Altes Katana;Other
29652;Aged Axe;Alte Axt;Other
29664;Aged Mace;Alter Hammer;Other
29676;Aged Spear;Alter Speer;Other
29688;Aged Staff;Alter Stab;Other
29700;Aged Shield;Alter Schild;Other
29712;Aged Necklace;Alte Halskette;Other
29724;Aged Ring;Alter Ring;Other
29736;Aged Armlet;Alter Armreif;Other
29748;Aged Earring;Alter Ohrring;Other
29760;Aged Sash;Alte Schärpe;Other
29772;Aged Anklet;Alte Fußkette;Other
29784;Aged Charm;Altes Amulett;Other
29796;Dull Sword;Stumpfes Schwert;Other
29808;Battered Katana;Ramponiertes Katana;Other
29820;Chipped Axe;Stumpfe Axt;Other
29832;Rusted Mace;Rostiger Hammer;Other
29844;Crooked Spear;Krummer Speer;Other
29856;Bent Staff;Verbogener Stab;Other
29868;Damaged Shield;Beschädigter Schild;Other
29880;Decayed Necklace;Zerfallene Halskette;Other
29892;Broken Ring;Zerbrochener Ring;Other
29904;Crushed Armlet;Zerdrückter Armreif;Other
29916;Mangled Earring;Zerquetschter Ohrring;Other
29928;Torn Sash;Zerfetzte Schärpe;Other
29940;Deteriorating Anklet;Verfallene Fußkette;Other
29952;Moldy Charm;Schäbiges Amulett;Other
29964;Vase Fragment;Vasenfragment;Other
29976;Urn;Urne;Other
29988;Antique Pot;Antiker Topf;Other
30000;Magick Lamp;Magische Lampe;Other
30012;Heirloom Pot;Erbstück-Topf;Other
30024;Atrocious Pot;Scheußlicher Topf;Other
30036;Withered Parchment;Zerfallenes Pergament;Other
30048;Worn Manuscript;Abgenutztes Manuskript;Other
30060;Torn Scripture;Zerfetztes Dokument;Other
30072;Reya's Note;Reyas Vermerk;Other
30084;Platter Fragment;Schalenfragment;Other
30096;Antique Platter;Antike Schale;Other
30108;Royal Platter;Königliche Schale;Other
30120;Legendary Platter;Legendäre Schale;Other
30132;Commemorative Medal;Erinnerungsmedaille;Other
30144;Beastman's Coin;Bestienmannmünze;Other
30156;Medal of Strength;Medaille der Stärke;Other
30168;Medal of Strength;Medaille der Liebe;Other
30180;Heroic Medal;Heldenmedaille;Other
30192;Djin's Coin;Dschinnmünze;Other
30204;Clamoring Bulb;Schreiende Knolle;Vegetation
30216;Surgill Bulb;Surgillknolle;Vegetation
30228;Eternal Bulb;Ewige Knolle;Vegetation
30240;Wildgrass;Wildgras;Vegetation
30252;Equisetum;Equisetum;Vegetation
30264;Viceweed;Lasterkraut;Vegetation
30276;Vine;Ranke;Vegetation
30288;Sturdy Vine;Kräftige Ranke;Vegetation
30300;Televa Vine;Televaranke;Vegetation
30312;Ancient Vine;Antike Ranke;Vegetation
30324;Sweet Nectar;Süßer Nektar;Vegetation
30336;Fruit of Prela;Frucht von Prela;Vegetation
30348;Fruit of Knowledge;Frucht des Wissens;Vegetation
30360;Passionbloom;Passionsblüte;Vegetation
30372;Amourose;Liebesrose;Vegetation
30384;Netherblossom;Unterblüte;Vegetation
30396;Timber;Holz;Vegetation
30408;Quality Timber;Qualitätsholz;Vegetation
30420;Zale Timber;Zaleholz;Vegetation
30432;Ailanthus Branch;Ailanthusast;Vegetation
30444;World Tree Timber;Weltenbaumholz;Vegetation
30456;Ebru Seed;Ebrusamen;Vegetation
30468;Kacz Seed;Kaczsamen;Vegetation
30480;Ur Seed;Ursamen;Vegetation
30492;Nage Leaf;Nageblatt;Vegetation
30504;Titicaca Leaf;Titicacablatt;Vegetation
30516;Waama Leaf;Waamablatt;Vegetation
30528;Cotton;Baumwolle;Vegetation
30540;Superior Cotton;Edle Baumwolle;Vegetation
30552;Superlative Cotton;Perfekte Baumwolle;Vegetation
30564;Translucent Water;Schimmerndes Wasser;Mineral
30576;Distilled Water;Destilliertes Wasser;Mineral
30588;Ether Water;Ätherwasser;Mineral
30600;Holy Water;Heiliges Wasser;Mineral
30612;Natural Oil;Natürliches Öl;Mineral
30624;Greasy Oil;Fettiges Öl;Mineral
30636;Red Oil;Rotes Öl;Mineral
30648;Black Oil;Schwarzes Öl;Mineral
30660;Natural Gas;Natürliches Gas;Mineral
30672;Putrefactive Gas;Fauliges Gas;Mineral
30684;Light Gas;Leichtes Gas;Mineral
30696;Tashlon Shell;Tashlonpanzer;Mineral
30708;Lobal Shell;Lobalpanzer;Mineral
30720;Coral;Koralle;Mineral
30732;Preinca Shell;Preincapanzer;Mineral
30744;Oilfly;Ölfliege;Mineral
30756;Glowfly;Glühfliege;Mineral
30768;Flockfly;Schwarmfliege;Mineral
30780;Alpacan Cloth;Alpakawollstoff;Mineral
30792;Angoran Cloth;Angorawollstoff;Mineral
30804;Linen Cloth;Leinenstoff;Mineral
30816;Mule Hide Cloth;Eselshautstoff;Mineral
30828;Beast Carapace;Bestienpanzer;Monster Component
30840;Old Carapace;Alter Panzer;Monster Component
30852;Ancient Carapace;Antiker Panzer;Monster Component
30864;WitheredHusk;Verwitterte Hülle;Monster Component
30876;Shed Husk;Schuppenhülle;Monster Component
30888;Iron Husk;Eisenhülle;Monster Component
30900;Beast Fur;Bestienfell;Monster Component
30912;Coarse Beast Fur;Raues Bestienfell;Monster Component
30924;Beast Hide;Bestienhaut;Monster Component
30936;Thick Beast Hide;Dicke Bestienhaut;Monster Component
30948;Fur;Fell;Monster Component
30960;Superior Fur;Edles Fell;Monster Component
30972;Superlative Fur;Perfektes Fell;Monster Component
30984;Tanned Hide;Gegerbte Haut;Monster Component
30996;Superior Tanned Hide;Edle gegerbte Haut;Monster Component
31008;Superlative Tanned Hide;Perfekte gegerbte Haut;Monster Component
31020;Beast Scale;Bestienschuppe;Monster Component
31032;Polished Scale;Glänzende Schuppe;Monster Component
31044;Dragon Scale;Drachenschuppe;Monster Component
31056;Horn;Horn;Monster Component
31068;Large Horn;Großes Horn;Monster Component
31080;Fang;Reißzahn;Monster Component
31092;Large Fang;Großer Reißzahn;Monster Component
31104;Bone Fragment;Knochenfragment;Monster Component
31116;Large Bone;Großer Knochen;Monster Component
31128;Beastman Bone;Bestienmannknochen;Monster Component
31140;Necrodragon Bone;Todesdrachenknochen;Monster Component
31152;Pangu's Bone;Panguknochen;Monster Component
31164;Talon;Kralle;Monster Component
31176;Large Talon;Große Kralle;Monster Component
31188;Small Feather;Kleine Feder;Monster Component
31200;Large Feather;Große Feder;Monster Component
31212;Large Bird Feather;Große Vogelfeder;Monster Component
31224;Rotten Meat;Verfaultes Fleisch;Monster Component
31236;Carcass Meat;Kadaverfleisch;Monster Component
31248;Insecta Juices;Insektensäfte;Monster Component
31260;Beast Juices;Bestiensäfte;Monster Component
31272;Sticky Fluid;Klebriges Sekret;Monster Component
31284;Gooey Fluid;Zähflüssiges Sekret;Monster Component
31296;Insect Egg Cluster;Insekteneier;Monster Component
31308;Beast Egg;Bestienei;Monster Component
31320;Dragon Egg;Drachenei;Monster Component
31332;Beastman Rawhide;Panzer eines Landinsekts;Monster Component
31344;Tanned Beastman Hide;Mystikmonsterhülle;Monster Component
31356;Land Insecta Husk;Landinsektenhülle;Monster Component
31368;War Dragon Hust;Kriegsdrachenhülle;Monster Component
31380;Sky Dragon Husk;Himmelsdrachenhülle;Monster Component
31392;Mystic Fiend Fur;Mystikmonsterfell;Monster Component
31404;Archfiend Fur;Erzmonsterfell;Monster Component
31416;Veastman Rawhide;Bestienmannbalg;Monster Component
31428;Avian Fiend Rawhide;Vogelmonster;Monster Component
31440;Faerie Rawhide;Feenbalg;Monster Component
31452;Land Dragon Rawhide;Landdrachenbalg;Monster Component
31464;War Dragon Rawhide;Kriegsdrachenbalg;Monster Component
31476;Darkfiend Rawhide;Schattenmonsterbalg;Monster Component
31488;Archfiend Rawhide;Erzmonsterbalg;Monster Component
31500;Thick Mystic Fiend Fur;Dickes Mystikmonsterfell;Monster Component
31512;Tanned Beastman Hide;Gegerbte Bestienmannhaut;Monster Component
31524;Tanned Mystic Fiend Hide;Gegerbte Mystikmonsterhaut;Monster Component
31536;Tanned Land Dragon Hide;Gegerbte Landdrachenhaut;Monster Component
31548;Tanned War Dragon Hide;Gegerbte Kriegsdrachenhaut;Monster Component
31560;Tanned Archfiend Hide;Gegerbte Erzmonsterhaut;Monster Component
31572;Mystic Fiend Scale;Mystikmonsterschuppe;Monster Component
31584;Land Dragon Scale;Landdrachenschuppe;Monster Component
31596;War Dragon Scale;Kriegsdrachenschuppe;Monster Component
31608;Mystic Fiend Horn;Mystikmonsterhorn;Monster Component
31620;Archfiend Horn;Erzmonsterhorn;Monster Component
31632;Mystic Fiend Fang;Mystikmonsterreißzahn;Monster Component
31644;Avian Fiend Fang;Vogelmonsterreißzahn;Monster Component
31656;Faerie Fang;Feenreißzahn;Monster Component
31668;Land Dragon Fang;Landdrachenreißzahn;Monster Component
31680;War Dragon Fang;Kriegsdrachenreißzahn;Monster Component
31692;Sky Dragon Fang;Himmelsdrachenreißzahn;Monster Component
31704;Archfiend Fang;Erzmonsterreißzahn;Monster Component
31716;Beastman Bone;Bestienmannknochen;Monster Component
31728;Mystic Fiend Bone;Mystikmonsterknochen;Monster Component
31740;Avian Fiend Bone;Vogelmonsterknochen;Monster Component
31752;Land Dragon Bone;Landdrachenknochen;Monster Component
31764;War Dragon Bone;Kriegsdrachenknochen;Monster Component
31776;Sky Dragon Bone;Himmelsdrachenknochen;Monster Component
31788;Darkfiend Bone;Schattenmonsterknochen;Monster Component
31800;Archfiend Bone;Erzmonsterknochen;Monster Component
31812;Beastman Talon;Bestienmannkralle;Monster Component
31824;Mystic Fiend Talon;Mystikmonsterkralle;Monster Component
31836;Avian Fiend Talon;Vogelmonsterkralle;Monster Component
31848;Land Insecta Talon;Landinsektkralle;Monster Component
31860;Land Dragon Talon;Landdrachenkralle;Monster Component
31872;War Dragon Talon;Kriegsdrachenkralle;Monster Component
31884;Sky Dragon Talon;Himmelsdrachenkralle;Monster Component
31896;Darkfiend Talon;Schattenmonsterkralle;Monster Component
31908;Archfiend Talon;Erzmonsterkralle;Monster Component
31920;Avian Fiend Feather;Vogelmonsterfeder;Monster Component
31932;Aerial Insecta Feather;Luftinsektenfeder;Monster Component
31944;Winged Insecta Feather;Flügelinsektenfeder;Monster Component
31956;Avian Fiend Wing;Vogelmonsterschwinge;Monster Component
31968;Aerial Insecta Wing;Luftinsektenschwinge;Monster Component
31980;War Dragon Wing;Kriegsdrachenschwinge;Monster Component
31992;Sky Dragon Wing;Himmelsdrachenschwinge;Monster Component
32004;Darkfiend Wing;Schattenmonsterschwinge;Monster Component
32016;Archfiend Wing;Erzmonsterschwinge;Monster Component
32028;Mystic Fiend Meat;Mystikmonsterfleisch;Monster Component
32040;Avian Fiend Meat;Vogelmonsterfleisch;Monster Component
32052;Winged Insecta Meat;Flügelinsektenfleisch;Monster Component
32064;Faerie Meat;Feenfleisch;Monster Component
32076;Land Dragon Meat;Landdrachenfleisch;Monster Component
32088;War Dragon Meat;Kriegsdrachenfleisch;Monster Component
32100;Sky Dragon Meat;Himmelsdrachenfleisch;Monster Component
32112;Darkfiend Meat;Struppige Vanargandmähne;Monster Component
32124;Archfiend Meat;Erzmonsterfleisch;Monster Component
32136;Land Insecta Fluid;Schimärenhülle;Monster Component
32148;Aerial Insecta Fluid;Luftinsektensekret;Monster Component
32160;Winged Insecta Fluid;Flügelinsektensekret;Monster Component
32172;Faerie Fluid;Feensekret;Monster Component
32184;Plantae Fluid;Pflanzensekret;Monster Component
32196;War Dragon Fluid;Kriegsdrachensekret;Monster Component
32208;Sky Dragon Fluid;Himmelsdrachensekret;Monster Component
32220;Darkfiend Fluid;Schattenmonstersekret;Monster Component
32232;Archfiend Fluid;Erzmonstersekret;Monster Component
32244;Jhana Talon;Jhanakralle;Monster Component
32256;Jhana Bone;Jhanaknochen;Monster Component
32268;Jhana Hide;Jhanahaut;Monster Component
32280;Jhana Rib;Jhanarippe;Monster Component
32292;Tanned Jhana Hide;Gegerbte Jhanahaut;Monster Component
32304;Jhana Hipbone;Jhanahüftknochen;Monster Component
32316;Moldering Jhana Sword;Vermodertes Jhanaschwert;Monster Component
32328;Moldering Jhana Spear;Vermoderter Jhanaspeer;Monster Component
32340;Moldering Jhana Staff;Vermoderter Jhanastab;Monster Component
32352;Moldering Jhana Katana;Vermodertes Jhanakatana;Monster Component
32364;Moldering Jhana Shield;Vermoderter Jhanaschild;Monster Component
