Value;English;Att;M-Att;Def;M-Def;Eva;M-Eva
8323644;Divine Sledgehammer;74;111;19;29;8;0
8323645;Draconile Sledgehammer;118;74;30;19;7;0
8323646;Prismic Sledgehammer;74;118;19;31;8;0
8323647;Damascene Sledgehammer;91;136;23;33;8;0
8323648;Auld Sledgehammer;68;101;15;23;6;0
8323649;Bludgeon;38;46;11;16;2;0
8323650;Combat Bludgeon;45;58;13;16;2;0
8323651;Warrior's Bludgeon;53;67;13;16;2;0
8323652;Commander's Bludgeon;63;76;19;22;3;0
8323653;Elite's Bludgeon;78;93;23;26;3;0
8323654;Champion's Bludgeon;89;108;23;29;4;0
8323655;Warlord's Bludgeon;95;116;25;32;4;0
8323656;Divine Bludgeon;104;125;29;36;5;0
8323657;Draconile Bludgeon;135;104;39;29;5;0
8323658;Prismic Bludgeon;104;138;29;35;5;0
8323659;Damascene Bludgeon;122;152;34;40;6;0
8323660;Auld Bludgeon;96;119;26;35;4;0
8323661;Konbo;57;71;16;21;4;0
8323662;Excellent Konbo;80;93;23;27;5;0
8323663;Optimal Konbo;112;136;35;41;6;0
8323664;Power Konbo;151;80;45;23;7;0
8323665;Orphic Konbo;80;152;23;46;7;0
8323666;Ancient Konbo;99;122;31;37;6;0
8323667;Blackjack;84;105;22;30;6;0
8323668;Superior Blackjack;118;141;33;38;8;0
8323669;Superlative Blackjack;143;172;40;52;11;0
8323670;Flame Blackjack;107;129;33;38;10;0
8323671;Storm Blackjack;107;134;32;40;10;0
8323672;Frost Blackjack;107;131;32;39;10;0
8323673;Caustic Blackjack;106;133;29;40;10;0
8323674;Poison Blackjack;107;129;30;37;10;0
8323675;Shielding Blackjack;192;118;57;33;12;0
8323676;Enchanted Blackjack;118;194;33;55;12;0
8323677;Auld Blackjack;110;135;33;38;10;0
8323678;Oberon's Plague;74;50;18;15;4;0
8323679;War Maul;79;55;20;16;4;0
8323680;Wyrmhammer;111;71;32;18;4;0
8323681;Onionhead;117;80;33;22;6;0
8323682;Ogrebrawn;154;104;46;27;7;0
8323683;Grandhammer;21;30;6;8;2;0
8323684;Combat Grandhammer;28;46;6;11;2;0
8323685;Warrior's Grandhammer;39;59;8;16;3;0
8323686;Commander's Grandhammer;47;71;9;17;4;0
8323687;Elite's Grandhammer;58;87;15;19;5;0
8323688;Champion's Grandhammer;64;98;15;26;5;0
8323689;Warlord's Grandhammer;76;117;19;29;6;0
8323690;Divine Grandhammer;87;127;21;34;8;0
8323691;Draconile Grandhammer;145;87;34;21;7;0
8323692;Prismic Grandhammer;87;146;21;34;8;0
8323693;Damascene Grandhammer;102;152;26;37;8;0
8323694;Auld Grandhammer;80;118;19;30;6;0
8323695;Grandclub;37;50;10;9;2;0
8323696;Combat Grandclub;47;56;11;15;2;0
8323697;Warrior's Grandclub;55;67;15;19;2;0
8323698;Commander's Grandclub;65;80;16;19;3;0
8323699;Elite's Grandclub;78;98;20;23;3;0
8323700;Champion's Grandclub;90;113;22;27;4;0
8323701;Warlord's Grandclub;100;121;25;32;4;0
8323702;Divine Grandclub;105;129;28;34;5;0
8323703;Draconile Grandclub;141;105;36;28;5;0
8323704;Prismic Grandclub;105;140;28;35;5;0
8323705;Damascene Grandclub;124;157;31;37;6;0
8323706;Auld Grandclub;100;120;26;30;4;0
8323707;Bigbang;88;107;23;28;6;0
8323708;Superior Bigbang;120;148;29;37;8;0
8323709;Superlative Bigbang;145;180;35;43;11;0
8323710;Flame Bigbang;109;138;27;33;10;0
8323711;Storm Bigbang;110;137;29;37;10;0
8323712;Frost Bigbang;113;139;29;35;10;0
8323713;Caustic Bigbang;110;135;30;36;10;0
8323714;Poison Bigbang;109;136;29;34;10;0
8323715;Shielding Bigbang;200;120;50;29;12;0
8323716;Enchanted Bigbang;120;198;29;51;12;0
8323717;Auld Bigbang;110;134;26;36;10;0
8323718;Balterossan;58;37;15;8;3;0
8323719;Whalehammer;91;63;24;17;5;0
8323720;Demonspike;104;66;24;18;6;0
8323721;Cocytus's Cry;131;87;35;22;8;0
8323722;Mjöllnir;188;125;49;33;13;0
8323723;Pike;23;19;11;7;4;0
8323724;Combat Pike;32;26;16;10;6;0
8323725;Warrior's Pike;46;34;16;16;8;0
8323726;Commander's Pike;51;44;22;17;10;0
8323727;Elite's Pike;65;52;27;20;12;0
8323728;Champion's Pike;76;61;32;26;14;0
8323729;Warlord's Pike;85;73;36;29;16;0
8323730;Divine Pike;98;82;39;34;19;0
8323731;Draconile Pike;112;82;44;34;17;0
8323732;Prismic Pike;82;108;34;43;19;0
8323733;Damascene Pike;125;102;49;37;20;0
8323734;Auld Pike;93;77;37;31;15;0
8323735;Pitchfork;65;56;25;23;10;0
8323736;Superior Pitchfork;97;85;36;35;13;0
8323737;Superlative Pitchfork;142;129;57;52;16;0
8323738;Might Pitchfork;158;85;60;35;18;0
8323739;Runic Pitchfork;85;159;35;65;18;0
8323740;Auld Pitchfork;114;101;43;41;16;0
8323741;Mootpoint;49;34;21;15;7;0
8323742;Elf's Snare;35;53;14;23;8;0
8323743;Devil's Fork;161;164;22;24;20;0
8323744;Lance;26;16;6;6;4;0
8323745;Combat Lance;36;24;9;8;6;0
8323746;Warrior's Lance;52;32;14;12;8;0
8323747;Commander's Lance;61;40;17;13;10;0
8323748;Elite's Lance;75;50;24;16;12;0
8323749;Champion's Lance;82;57;31;16;14;0
8323750;Warlord's Lance;102;69;34;23;16;0
8323751;Divine Lance;113;73;37;24;19;0
8323752;Draconile Lance;127;73;44;24;17;0
8323753;Prismic Lance;73;127;24;44;19;0
8323754;Damascene Lance;143;94;49;31;20;0
8323755;Auld Lance;106;71;34;23;15;0
8323756;Spear;24;25;7;6;4;0
8323757;Combat Spear;39;41;10;12;6;0
8323758;Warrior's Spear;54;50;16;15;8;0
8323759;Commander's Spear;64;60;20;17;10;0
8323760;Elite's Spear;77;75;21;24;12;0
8323761;Champion's Spear;88;89;26;29;14;0
8323762;Warlord's Spear;106;102;32;32;16;0
8323763;Divine Spear;115;118;35;36;19;0
8323764;Draconile Spear;131;118;38;36;17;0
8323765;Prismic Spear;118;131;36;42;19;0
8323766;Damascene Spear;138;138;42;41;20;0
8323767;Auld Spear;109;111;35;33;15;0
8323768;Javelin;68;63;24;22;10;0
8323769;Superior Javelin;100;92;33;29;13;0
8323770;Superlative Javelin;154;136;50;44;16;0
8323771;Might Javelin;166;92;54;29;18;0
8323772;Runic Javelin;92;168;29;54;18;0
8323773;Auld Javelin;122;108;41;37;16;0
8323774;Celapaleian;23;38;7;13;6;0
8323775;Centaur Lance;55;53;16;17;9;0
8323776;Brownie's Ire;50;79;15;24;12;0
8323777;Boltspear;73;74;24;22;11;0
8323778;Bluedrake Spear;95;63;36;15;14;0
8323779;Coral Lance;68;105;16;39;14;0
8323780;Scorpion Spear;124;9;40;2;19;0
8323781;Halberd;24;18;7;6;3;0
8323782;Combat Halberd;38;25;11;6;5;0
8323783;Warrior's Halberd;54;36;14;8;6;0
8323784;Commander's Halberd;64;41;17;12;7;0
8323785;Elite's Halberd;80;52;21;12;9;0
8323786;Champion's Halberd;90;61;23;16;10;0
8323787;Warlord's Halberd;105;69;28;19;12;0
8323788;Divine Halberd;119;80;34;22;14;0
8323789;Draconile Halberd;130;80;34;22;13;0
8323790;Prismic Halberd;80;130;22;35;14;0
8323791;Damascene Halberd;148;100;40;28;15;0
8323792;Auld Halberd;113;72;31;18;11;0
8323793;Trident;24;24;6;9;3;0
8323794;Combat Trident;41;41;12;14;5;0
8323795;Warrior's Trident;50;53;14;15;6;0
8323796;Commander's Trident;63;64;20;19;7;0
8323797;Elite's Trident;75;79;23;24;9;0
8323798;Champion's Trident;90;89;25;27;10;0
8323799;Warlord's Trident;103;103;34;31;12;0
8323800;Divine Trident;119;117;36;35;14;0
8323801;Draconile Trident;131;117;42;35;13;0
8323802;Prismic Trident;117;128;35;41;14;0
8323803;Damascene Trident;140;138;44;44;15;0
8323804;Auld Trident;109;109;35;35;11;0
8323805;Bardiche;68;65;18;18;8;0
8323806;Superior Bardiche;95;85;28;26;10;0
8323807;Superlative Bardiche;136;127;39;37;13;0
8323808;Might Bardiche;155;85;47;26;14;0
8323809;Runic Bardiche;85;154;26;45;14;0
8323810;Auld Bardiche;125;112;38;34;13;0
8323811;Glaive;100;94;31;29;10;0
8323812;Superior Glaive;142;131;42;39;14;0
8323813;Superlative Glaive;172;154;51;45;18;0
8323814;Flame Glaive;133;120;36;35;17;0
8323815;Storm Glaive;134;117;38;32;17;0
8323816;Frost Glaive;135;122;36;32;17;0
8323817;Caustic Glaive;133;121;37;35;17;0
8323818;Poison Glaive;133;121;35;34;17;0
8323819;Shielding Glaive;192;131;55;39;20;0
8323820;Enchanted Glaive;131;192;39;55;20;0
8323821;Auld Glaive;133;119;37;33;16;0
8323822;Cúchulainn's Frenzy;52;74;12;20;12;0
8323823;Guisarme;65;67;16;17;13;0
8323824;Nagapuran;51;52;51;52;14;0
8323825;Knight's Lance;99;41;26;10;15;0
8323826;Ouroboros Voulge;84;129;23;35;20;0
8323827;Vulcanlance;150;137;44;41;24;0
8323828;Harpoon;51;45;11;9;6;0
8323829;Combat Harpoon;62;51;16;11;8;0
8323830;Warrior's Harpoon;74;62;19;14;9;0
8323831;Commander's Harpoon;82;67;22;18;11;0
8323832;Elite's Harpoon;103;85;25;21;13;0
8323833;Champion's Harpoon;121;98;32;26;16;0
8323834;Warlord's Harpoon;131;110;32;27;17;0
8323835;Divine Harpoon;143;117;36;31;20;0
8323836;Draconile Harpoon;153;117;35;31;18;0
8323837;Prismic Harpoon;117;156;31;40;21;0
8323838;Damascene Harpoon;167;138;45;34;22;0
8323839;Auld Harpoon;130;109;30;27;15;0
8323840;Naginata;107;93;26;24;10;0
8323841;Excellent Naginata;146;132;35;31;14;0
8323842;Optimal Naginata;180;160;42;38;18;0
8323843;Fire Naginata;139;125;32;29;17;0
8323844;Bolt Naginata;136;124;34;28;17;0
8323845;Ice Naginata;139;126;34;32;17;0
8323846;Lytic Naginata;138;123;36;31;17;0
8323847;Venom Naginata;135;125;32;29;17;0
8323848;Parrying Naginata;201;132;50;31;20;0
8323849;Aura Naginata;132;201;31;48;20;0
8323850;Ancient Naginata;135;123;36;29;16;0
8323851;Gigaspear;94;59;22;17;15;0
8323852;Lance of Longinus;109;72;30;20;21;0
8323853;Wyrmgrounder;120;78;29;21;22;0
8323854;Ousterlance;85;127;21;33;24;0
8323855;Fáfnirsbane;255;120;47;23;29;0
8323856;Rod;16;21;5;8;4;0
8323857;Combat Rod;23;37;8;13;6;0
8323858;Warrior's Rod;32;49;11;20;8;0
8323859;Commander's Rod;37;59;17;21;9;0
8323860;Elite's Rod;48;73;18;30;12;0
8323861;Champion's Rod;54;83;21;33;13;0
8323862;Warlord's Rod;65;99;25;41;16;0
8323863;Divine Rod;70;105;29;46;19;0
8323864;Draconile Rod;122;70;47;29;16;0
8323865;Prismic Rod;70;122;29;47;18;0
8323866;Damascene Rod;90;137;33;54;20;0
8323867;Auld Rod;66;103;27;40;15;0
8323868;Wand;88;91;38;38;13;0
8323869;Superior Wand;124;126;48;49;18;0
8323870;Superlative Wand;149;152;59;61;24;0
8323871;Flame Wand;113;116;45;46;22;0
8323872;Storm Wand;115;115;45;44;22;0
8323873;Frost Wand;114;117;44;44;22;0
8323874;Caustic Wand;116;114;48;47;22;0
8323875;Poison Wand;116;114;44;46;22;0
8323876;Shielding Wand;168;116;68;44;26;0
8323877;Enchanted Wand;116;167;44;67;26;0
8323878;Auld Wand;115;115;45;44;21;0
8323879;Tambo;81;98;30;38;13;0
8323880;Excellent Tambo;113;139;43;54;18;0
8323881;Optimal Tambo;136;171;51;64;24;0
8323882;Fire Tambo;107;131;42;50;22;0
8323883;Bolt Tambo;106;128;38;49;22;0
8323884;Ice Tambo;105;131;41;52;22;0
8323885;Lytic Tambo;103;126;42;49;22;0
8323886;Venom Tambo;104;129;41;49;22;0
8323887;Parrying Tambo;187;104;73;41;26;0
8323888;Aura Tambo;104;187;41;74;26;0
8323889;Ancient Tambo;107;129;42;49;21;0
8323890;Whisperwand;33;36;14;12;7;0
8323891;Runestaff;7;113;31;29;14;0
8323892;Leanan Sídhe's Wiles;9;148;40;40;17;0
8323893;Cudgel;21;22;6;9;4;0
8323894;Combat Cudgel;30;33;8;9;6;0
8323895;Warrior's Cudgel;43;42;12;14;8;0
8323896;Commander's Cudgel;51;52;17;16;9;0
8323897;Elite's Cudgel;62;62;18;19;12;0
8323898;Champion's Cudgel;70;70;21;23;13;0
8323899;Warlord's Cudgel;85;84;30;27;16;0
8323900;Divine Cudgel;92;93;31;33;19;0
8323901;Draconile Cudgel;105;92;35;31;16;0
8323902;Prismic Cudgel;92;107;31;37;18;0
8323903;Damascene Cudgel;117;116;38;38;20;0
8323904;Auld Cudgel;87;88;29;30;15;0
8323905;Scepter;18;24;6;7;4;0
8323906;Combat Scepter;26;38;8;10;6;0
8323907;Warrior's Scepter;37;52;9;14;8;0
8323908;Commander's Scepter;43;61;10;18;9;0
8323909;Elite's Scepter;50;76;13;21;12;0
8323910;Champion's Scepter;57;89;14;23;13;0
8323911;Warlord's Scepter;71;108;18;29;16;0
8323912;Divine Scepter;80;120;20;30;19;0
8323913;Draconile Scepter;132;80;35;20;16;0
8323914;Prismic Scepter;80;135;20;35;18;0
8323915;Damascene Scepter;95;142;27;39;20;0
8323916;Auld Scepter;74;111;19;31;15;0
8323917;Ji;45;44;16;15;8;0
8323918;Battle Ji;56;54;17;17;11;0
8323919;Ronin Ji;61;63;21;21;12;0
8323920;Samurai Ji;74;71;24;26;14;0
8323921;Daimyo Ji;91;90;31;31;16;0
8323922;Ninja Ji;102;104;32;36;20;0
8323923;Shogun Ji;114;113;36;39;21;0
8323924;Sacred Ji;119;121;41;41;25;0
8323925;Wyrm Ji;131;119;41;41;23;0
8323926;Gem Ji;119;132;41;44;26;0
8323927;Mithril Ji;143;144;46;46;28;0
8323928;Ancient Ji;114;112;38;37;19;0
8323929;Vare;56;69;19;24;10;0
8323930;Superior Vare;85;103;29;33;14;0
8323931;Superlative Vare;132;158;41;52;17;0
8323932;Might Vare;178;85;57;29;19;0
8323933;Runic Vare;85;174;29;60;19;0
8323934;Auld Vare;102;129;33;42;16;0
8323935;Cleric's Crook;2;48;12;8;6;0
8323936;Casting Cudgel;22;59;15;13;8;0
8323937;Sylph's Allure;42;64;14;19;10;0
8323938;Melphinan;48;70;17;26;9;0
8323939;Sword Cane;99;9;9;9;10;0
8323940;Halo Scepter;63;93;21;31;14;0
8323941;Sage's Staff;83;124;28;42;19;0
8323942;Eurytus Staff;122;123;54;53;22;0
8323943;Greatstaff;42;51;13;15;4;0
8323944;Combat Greatstaff;52;61;15;16;6;0
8323945;Warrior's Greatstaff;57;69;17;19;8;0
8323946;Commander's Greatstaff;67;83;20;20;9;0
8323947;Elite's Greatstaff;85;103;21;28;12;0
8323948;Champion's Greatstaff;97;118;28;30;13;0
8323949;Warlord's Greatstaff;107;127;29;37;16;0
8323950;Divine Greatstaff;112;139;34;41;19;0
8323951;Draconile Greatstaff;148;112;40;34;16;0
8323952;Prismic Greatstaff;112;148;34;42;18;0
8323953;Damascene Greatstaff;133;164;38;44;20;0
8323954;Auld Greatstaff;106;130;27;33;15;0
8323955;Quarterstaff;59;75;17;21;9;0
8323956;Superior Quarterstaff;87;108;27;31;12;0
8323957;Superlative Quarterstaff;133;162;37;46;15;0
8323958;Might Quarterstaff;182;87;54;27;16;0
8323959;Runic Quarterstaff;87;179;27;50;16;0
8323960;Auld Quarterstaff;105;128;30;39;14;0
8323961;Justiciar;42;67;12;18;11;0
8323962;Ghorian;76;52;20;12;11;0
8323963;Phoenix Perch;82;83;28;27;16;0
8323964;Banshee's Dirge;70;108;21;27;17;0
8323965;Verge of Victory;119;80;31;20;20;0
8323966;Soulscepter;103;153;28;41;20;0
8323967;Caduceus;88;113;23;27;18;0
8323968;Superior Caduceus;126;152;34;40;25;0
8323969;Superlative Caduceus;152;185;38;44;32;0
8323970;Flame Caduceus;117;142;28;36;31;0
8323971;Storm Caduceus;115;143;30;36;31;0
8323972;Frost Caduceus;119;140;30;36;31;0
8323973;Caustic Caduceus;116;141;31;35;31;0
8323974;Poison Caduceus;118;144;27;33;31;0
8323975;Shielding Caduceus;209;118;52;27;36;0
8323976;Enchanted Caduceus;118;209;27;49;36;0
8323977;Auld Caduceus;116;143;29;33;29;0
8323978;Titan's Toothpick;127;74;34;20;15;0
8323979;Wyrmstaff;184;110;26;45;29;0
8323980;Leraje;26;21;4;6;3;0
8323981;Leraje Princeps;48;38;10;8;5;0
8323982;Leraje Rex;69;55;19;15;8;0
8323983;Leraje Dominus;92;73;21;21;12;0
8323984;Zepar;23;26;8;9;3;0
8323985;Zepar Princeps;43;48;9;16;5;0
8323986;Zepar Rex;62;74;16;18;8;0
8323987;Zepar Dominus;81;102;21;24;12;0
8323988;Naberius ;90;76;25;18;9;0
8323989;Naberius Dominus;111;92;28;23;14;0
8323990;Focalor;76;91;18;24;9;0
8323991;Focalor Dominus;94;114;22;28;14;0
8323992;Gremory;118;119;31;29;13;0
8323993;Gremory Dominus;157;156;38;41;21;0
8323994;Camio;22;26;6;4;1;0
8323995;Camio Princeps;45;45;8;10;2;0
8323996;Camio Rex;62;66;13;14;3;0
8323997;Camio Dominus;84;85;17;19;4;0
8323998;Shax;45;46;11;9;3;0
8323999;Shax Princeps;71;71;13;15;5;0
8324000;Shax Rex;80;80;14;14;7;0
8324001;Shax Dominus;98;95;16;19;9;0
8324002;Gaap;128;124;25;23;5;0
8324003;Gaap Dominus;164;161;32;29;8;0
8324004;Cimejes;26;20;6;4;2;0
8324005;Cimejes Princeps;49;35;11;8;4;0
8324006;Cimejes Rex;77;48;18;12;5;0
8324007;Cimejes Dominus;99;66;25;18;8;0
8324008;Haagenti;27;21;8;8;2;0
8324009;Haagenti Princeps;52;39;15;9;4;0
8324010;Haagenti Rex;80;62;19;15;5;0
8324011;Haagenti Dominus;101;83;28;21;8;0
8324012;Seere;102;64;27;17;7;0
8324013;Seere Dominus;124;82;34;23;11;0
8324014;Halphas;131;110;35;25;10;0
8324015;Halphas Dominus;173;143;42;35;17;0
8324016;Beleth;17;30;5;7;1;0
8324017;Beleth Princeps;33;49;7;12;2;0
8324018;Beleth Rex;48;75;14;20;3;0
8324019;Beleth Dominus;64;98;15;26;4;0
8324020;Amon;39;52;11;11;3;0
8324021;Amon Princeps;58;79;15;20;5;0
8324022;Amon Rex;68;91;17;23;7;0
8324023;Amon Dominus;80;107;19;27;9;0
8324024;Ipos;76;93;18;23;4;0
8324025;Ipos Dominus;132;162;34;40;7;0
8324026;Berith;25;24;6;8;3;0
8324027;Berith Princeps;46;46;11;13;5;0
8324028;Berith Rex;76;68;21;18;8;0
8324029;Berith Dominus;99;86;28;22;12;0
8324030;Guison;94;83;26;24;9;0
8324031;Guison Dominus;165;146;45;39;14;0
8324032;Foras;26;28;8;5;3;0
8324033;Foras Princeps;46;48;14;12;5;0
8324034;Foras Rex;70;69;19;20;8;0
8324035;Foras Dominus;92;91;26;27;12;0
8324036;Haures;24;33;7;12;3;0
8324037;Haures Princeps;44;67;12;19;5;0
8324038;Haures Rex;65;98;16;25;8;0
8324039;Haures Dominus;82;128;22;33;12;0
8324040;Stolas;74;98;18;28;9;0
8324041;Stolas Dominus;133;177;35;45;14;0
8324042;Morax;23;27;10;8;3;0
8324043;Morax Princeps;47;43;13;15;5;0
8324044;Morax Rex;66;67;22;22;8;0
8324045;Morax Dominus;91;88;26;30;12;0
8324046;Furfur;85;84;27;25;9;0
8324047;Furfur Dominus;104;105;33;34;14;0
8324048;Oriax;115;119;38;40;13;0
8324049;Oriax Dominus;153;152;50;49;21;0
8324050;Belial;29;31;3;5;1;0
8324051;Belial Princeps;54;51;7;5;2;0
8324052;Belial Rex;77;79;11;10;3;0
8324053;Belial Dominus;103;102;15;12;4;0
8324054;Paimon;136;134;18;20;5;0
8324055;Paimon Dominus;175;177;22;26;8;0
8324056;Purson;28;19;9;7;2;0
8324057;Purson Princeps;54;36;14;12;4;0
8324058;Purson Rex;78;53;28;19;5;0
8324059;Purson Dominus;111;70;32;21;8;0
8324060;Ronove;52;39;17;11;3;0
8324061;Ronove Princeps;75;57;24;17;5;0
8324062;Ronove Rex;94;68;31;23;7;0
8324063;Ronove Dominus;110;81;38;28;9;0
8324064;Marbas ;94;77;31;25;7;0
8324065;Marbas Dominus;162;132;51;42;11;0
8324066;Phenex;19;30;5;8;1;0
8324067;Phenex Princeps;36;56;10;16;2;0
8324068;Phenex Rex;52;79;18;24;3;0
8324069;Phenex Dominus;73;110;22;32;4;0
8324070;Vine;70;93;22;33;4;0
8324071;Vine Dominus;86;117;29;37;7;0
8324072;Orobas;104;127;34;44;5;0
8324073;Orobas Dominus;137;166;43;51;8;0
8324074;Valac;25;23;8;8;3;0
8324075;Valac Princeps;50;39;15;11;5;0
8324076;Valac Rex;73;61;24;18;8;0
8324077;Valac Dominus;99;82;29;25;12;0
8324078;Crocell;28;30;9;9;3;0
8324079;Crocell Princeps;54;53;16;17;5;0
8324080;Crocell Rex;81;81;26;28;8;0
8324081;Crocell Dominus;103;106;37;36;12;0
8324082;Ose;96;77;31;25;9;0
8324083;Ose Dominus;116;98;40;33;14;0
8324084;Buer;115;115;36;38;13;0
8324085;Buer Dominus;151;154;49;49;21;0
8324086;Baal;38;59;14;22;6;0
8324087;Baal Princeps;59;85;20;30;9;0
8324088;Baal Rex;69;104;23;34;14;0
8324089;Baal Dominus;79;122;29;39;17;0
8324090;Agares;72;96;23;32;9;0
8324091;Agares Dominus;131;176;45;58;14;0
8324092;Buckler;0;0;0;0;4;2
8324093;Combat Buckler;0;0;0;0;6;3
8324094;Warrior's Buckler;0;0;0;0;8;4
8324095;Commander's Buckler;0;0;0;0;10;5
8324096;Elite's Buckler;0;0;0;0;12;6
8324097;Champion's Buckler;0;0;0;0;14;7
8324098;Warlord's Buckler;0;0;0;0;16;8
8324099;Divine Buckler;0;0;0;0;20;10
8324100;Draconile Buckler;0;0;0;0;17;8
8324101;Prismic Buckler;0;0;0;0;18;9
8324102;Damascene Buckler;0;0;0;0;22;11
8324103;Auld Buckler;0;0;0;0;15;7
8324104;Targe;0;0;0;0;5;10
8324105;Superior Targe;0;0;0;0;8;16
8324106;Superlative Targe;0;0;0;0;10;20
8324107;Slicing Targe;0;0;0;0;8;16
8324108;Impact Targe;0;0;0;0;8;16
8324109;Force Targe;0;0;0;0;8;16
8324110;Thrust Targe;0;0;0;0;8;16
8324111;Auld Targe;0;0;0;0;6;12
8324112;Guardedhope;0;0;0;0;5;5
8324113;Pixie's Heart;0;0;0;0;8;12
8324114;Rider Shield;0;0;0;0;15;0
8324115;Kiteshield;0;0;0;0;5;4
8324116;Combat Kiteshield;0;0;0;0;8;6
8324117;Warrior's Kiteshield;0;0;0;0;10;8
8324118;Commander's Kiteshield;0;0;0;0;13;10
8324119;Elite's Kiteshield;0;0;0;0;15;12
8324120;Champion's Kiteshield;0;0;0;0;18;14
8324121;Warlord's Kiteshield;0;0;0;0;20;16
8324122;Divine Kiteshield;0;0;0;0;25;20
8324123;Draconile Kiteshield;0;0;0;0;21;16
8324124;Prismic Kiteshield;0;0;0;0;23;18
8324125;Damascene Kiteshield;0;0;0;0;28;22
8324126;Auld Kiteshield;0;0;0;0;19;15
8324127;Aspis;0;0;0;0;4;5
8324128;Aspis Militaris;0;0;0;0;6;8
8324129;Aspis Bellatoris;0;0;0;0;8;10
8324130;Aspis Praetorius;0;0;0;0;10;13
8324131;Aspis Nobilatis;0;0;0;0;12;15
8324132;Aspis Heroicus;0;0;0;0;14;18
8324133;Aspis Imperatoris;0;0;0;0;16;20
8324134;Aspis Caelestis;0;0;0;0;20;25
8324135;Aspis Serpentis;0;0;0;0;16;21
8324136;Aspis Crystallus;0;0;0;0;18;23
8324137;Aspis Adamanteus;0;0;0;0;22;28
8324138;Aspis Antiquitis;0;0;0;0;15;19
8324139;Soulshield;0;0;0;0;10;13
8324140;Superior Soulshield;0;0;0;0;16;20
8324141;Superlative Soulshield;0;0;0;0;22;28
8324142;Flame Soulshield;0;0;0;0;16;21
8324143;Storm Soulshield;0;0;0;0;16;21
8324144;Frost Soulshield;0;0;0;0;16;21
8324145;Caustic Soulshield;0;0;0;0;16;21
8324146;Poison Soulshield;0;0;0;0;16;21
8324147;Shielding Soulshield;0;0;0;0;30;24
8324148;Enchanted Soulshield;0;0;0;0;24;30
8324149;Auld Soulshield;0;0;0;0;16;21
8324150;Quadrashield;0;0;0;0;8;8
8324151;Escutcheon;0;0;0;0;12;6
8324152;Wall of Athlum;0;0;0;0;12;12
8324153;Boggart's Hoard;0;0;0;0;0;20
8324154;Drakescale Shield;0;0;0;0;20;0
8324155;Lowland Shield;0;0;0;0;16;16
8324156;Towershield;0;0;0;0;4;6
8324157;Combat Towershield;0;0;0;0;7;9
8324158;Warrior's Towershield;0;0;0;0;9;12
8324159;Commander's Towershield;0;0;0;0;12;15
8324160;Elite's Towershield;0;0;0;0;14;18
8324161;Champion's Towershield;0;0;0;0;16;21
8324162;Warlord's Towershield;0;0;0;0;19;24
8324163;Divine Towershield;0;0;0;0;24;30
8324164;Draconile Towershield;0;0;0;0;20;26
8324165;Prismic Towershield;0;0;0;0;21;27
8324166;Damascene Towershield;0;0;0;0;26;33
8324167;Auld Towershield;0;0;0;0;18;23
8324168;Heatershield;0;0;0;0;6;4
8324169;Combat Heatershield;0;0;0;0;9;7
8324170;Warrior's Heatershield;0;0;0;0;12;9
8324171;Commander's Heatershield;0;0;0;0;15;12
8324172;Elite's Heatershield;0;0;0;0;18;14
8324173;Champion's Heatershield;0;0;0;0;21;16
8324174;Warlord's Heatershield;0;0;0;0;24;19
8324175;Divine Heatershield;0;0;0;0;30;24
8324176;Draconile Heatershield;0;0;0;0;26;20
8324177;Prismic Heatershield;0;0;0;0;27;21
8324178;Damascene Heatershield;0;0;0;0;33;26
8324179;Auld Heatershield;0;0;0;0;23;18
8324180;Godshield;0;0;0;0;12;7
8324181;Superior Godshield;0;0;0;0;24;14
8324182;Superlative Godshield;0;0;0;0;30;18
8324183;Slicing Godshield;0;0;0;0;24;14
8324184;Impact Godshield;0;0;0;0;24;14
8324185;Force Godshield;0;0;0;0;24;14
8324186;Thrust Godshield;0;0;0;0;24;14
8324187;Auld Godshield;0;0;0;0;18;10
8324188;Wall of Celapaleis;0;0;0;0;6;6
8324189;Forsaker;0;0;0;0;0;15
8324190;Guardian Shield;0;0;0;0;19;19
8324191;Siren's Song;0;0;0;0;8;21
8324192;Aqueous Shield;0;0;0;0;10;25
8324193;Shield of the Vanquisher;0;0;0;0;40;20
8324194;Scutum;0;0;0;0;7;1
8324195;Scutum Militaris;0;0;0;0;11;2
8324196;Scutum Bellatoris;0;0;0;0;14;2
8324197;Scutum Praetorius;0;0;0;0;18;3
8324198;Scutum Nobilatis;0;0;0;0;21;4
8324199;Scutum Heroicus;0;0;0;0;25;5
8324200;Scutum Imperatoris;0;0;0;0;28;5
8324201;Scutum Caelestis;0;0;0;0;35;7
8324202;Scutum Serpentis;0;0;0;0;30;6
8324203;Scutum Crystallus;0;0;0;0;32;6
8324204;Scutum Adamanteus;0;0;0;0;39;7
8324205;Scutum Antiquitis;0;0;0;0;27;5
8324206;Nethershield;0;0;0;0;11;18
8324207;Superior Nethershield;0;0;0;0;14;28
8324208;Superlative Nethershield;0;0;0;0;18;39
8324209;Flame Nethershield;0;0;0;0;21;30
8324210;Storm Nethershield;0;0;0;0;25;30
8324211;Frost Nethershield;0;0;0;0;28;30
8324212;Caustic Nethershield;0;0;0;0;35;30
8324213;Poison Nethershield;0;0;0;0;30;30
8324214;Shielding Nethershield;0;0;0;0;32;42
